Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
Okanogan 16-44,Okanogan,Okanogan-Haynes Creek South,Restore Reach Function,1,Steelhead,No Priority Life Stages,"Riparian-Canopy Cover,Riparian,Temperature- Rearing",Pool Quantity and Quality,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Water Quality Improvement",27.Jan.2131
Omak 16-13,Okanogan,Omak Creek-Middle DS,Restore Reach Function,1,Steelhead,No Priority Life Stages,"Coarse Substrate,Riparian-Canopy Cover,Riparian,Temperature- Rearing",Flow- Summer Base Flow,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2132
Omak 16-14,Okanogan,Omak Creek-Upper DS,Restore Reach Function,1,Steelhead,No Priority Life Stages,"Riparian-Canopy Cover,Riparian,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2133
Omak 16-15,Okanogan,Omak Creek-Upper DS,Restore Reach Function,1,Steelhead,No Priority Life Stages,No Unacceptable Limiting Factors,"Coarse Substrate,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2134
Peshastin Creek Lower 02,Wenatchee,Lower Peshastin Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Stability,Stability,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2135
Stapaloop 16-2,Okanogan,Omak Creek-Middle DS,Restore Reach Function,1,Steelhead,No Priority Life Stages,"Riparian-Canopy Cover,Riparian","Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2136
Tonasket 16-1,Okanogan,Tonasket Creek DS,Restore Reach Function,1,Steelhead,No Priority Life Stages,"Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing",Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2137
Twisp River Upper 01,Methow,Upper Twisp River,Restore Reach Function,1,"Spring Chinook, Steelhead, Bull Trout",No Priority Life Stages,"Cover- Wood,Pool Quantity and Quality","Bank Stability,Channel Stability,Stability,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration",27.Jan.2138
Wenatchee River Tumwater 01,Wenatchee,Wenatchee River-Tumwater Canyon,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Temperature- Rearing","Channel Stability,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2139
Wolf Creek 01,Methow,Wolf Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover","Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2140
Chewuch River Doe 01,Methow,Chewuch River-Doe Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Riparian-Canopy Cover","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2141
Chewuch River Doe 04,Methow,Chewuch River-Doe Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Temperature- Rearing","Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2142
Chewuch River Doe 05,Methow,Chewuch River-Doe Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Riparian-Canopy Cover,Temperature- Rearing","Flow- Summer Base Flow,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2143
Chewuch River Thirtymile 01,Methow,Chewuch River-Thirtymile Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Channel Stability,Off-Channel- Side-Channels","Bank Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2144
Lake Creek Methow 02,Methow,Lake Creek (Methow),Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Channel Stability,Cover- Wood,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2145
Methow River Alta Coulee 02,Methow,Methow River-Alta Coulee,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2146
Methow River Fawn 05,Methow,Methow River-Fawn Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Flow- Summer Base Flow,Riparian-Canopy Cover,Temperature- Rearing","Bank Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2147
Methow River Fawn 07,Methow,Methow River-Fawn Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Bank Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover","Channel Stability,Stability,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2148
Methow River Fawn 08,Methow,Methow River-Fawn Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover","Channel Stability,Stability,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2149
Methow River McFarland 03,Methow,Methow River-McFarland Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2150
Methow River McFarland 05,Methow,Methow River-McFarland Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2151
Methow River Rattlesnake 02,Methow,Methow River-Rattlesnake Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Channel Stability,Stability,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2152
Methow River Texas 04,Methow,Methow River-Texas Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2153
Okanogan 16-17,Okanogan,Okanogan-Swipkin Canyon,Restore Reach Function,2,Steelhead,No Priority Life Stages,"Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Coarse Substrate,Cover- Wood","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2154
Okanogan 16-29,Okanogan,Okanogan-Whitestone Coulee,Restore Reach Function,2,Steelhead,No Priority Life Stages,"Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2155
Okanogan 16-40,Okanogan,Okanogan-Mosquito Creek,Restore Reach Function,2,Steelhead,No Priority Life Stages,"Coarse Substrate,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing",Cover- Wood,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2156
Okanogan 16-43,Okanogan,Okanogan-Haynes Creek South,Restore Reach Function,2,Steelhead,No Priority Life Stages,"Cover- Wood,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2157
Omak 16-16,Okanogan,Omak Creek-Upper DS,Restore Reach Function,2,Steelhead,No Priority Life Stages,"Flow- Summer Base Flow,Pool Quantity and Quality","Coarse Substrate,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2158
Omak 16-17,Okanogan,Omak Creek-Upper DS,Restore Reach Function,2,Steelhead,No Priority Life Stages,Flow- Summer Base Flow,"Coarse Substrate,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2159
Peshastin Creek Lower 04,Wenatchee,Lower Peshastin Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Stability,Stability,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2160
Stapaloop 16-1,Okanogan,Omak Creek-Middle DS,Restore Reach Function,2,Steelhead,No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2161
Swimptkin 16-1,Okanogan,Omak Creek-Middle DS,Restore Reach Function,2,Steelhead,No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian","Coarse Substrate,Pool Quantity and Quality,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2162
Wenatchee River Tumwater 02,Wenatchee,Wenatchee River-Tumwater Canyon,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Bank Stability,Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Temperature- Rearing","Stability,Coarse Substrate,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2163
Wolf Creek 02,Methow,Wolf Creek,Restore Reach Function,2,"Spring Chinook, Steelhead",No Priority Life Stages,"Flow- Summer Base Flow,Pool Quantity and Quality","Cover- Wood,Off-Channel- Side-Channels,Riparian-Canopy Cover","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2164
Chewuch River Doe 06,Methow,Chewuch River-Doe Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Riparian-Canopy Cover,Temperature- Rearing","Flow- Summer Base Flow,Pool Quantity and Quality,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2165
Chewuch River Doe 07,Methow,Chewuch River-Doe Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Channel Stability,Cover- Wood","Bank Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2166
Chewuch River Doe 08,Methow,Chewuch River-Doe Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Channel Stability,Cover- Wood","Bank Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2167
Methow River Alta Coulee 05,Methow,Methow River-Alta Coulee,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2168
Methow River Fawn 01,Methow,Methow River-Fawn Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Flow- Summer Base Flow,Riparian-Canopy Cover,Temperature- Rearing","Bank Stability,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2169
Methow River Fawn 02,Methow,Methow River-Fawn Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Riparian-Canopy Cover,Temperature- Rearing","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2170
Methow River Fawn 03,Methow,Methow River-Fawn Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Floodplain Connectivity,Riparian-Canopy Cover,Temperature- Rearing","Channel Stability,Cover- Wood,Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2171
Methow River McFarland 01,Methow,Methow River-McFarland Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2172
Methow River McFarland 04,Methow,Methow River-McFarland Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2173
Methow River Rattlesnake 01,Methow,Methow River-Rattlesnake Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Flow- Summer Base Flow,Riparian-Canopy Cover","Bank Stability,Channel Stability,Stability,Cover- Wood,Floodplain Connectivity,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2174
Methow River Texas 01,Methow,Methow River-Texas Creek,Restore Reach Function,3,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2175
Okanogan 16-16,Okanogan,Okanogan-Swipkin Canyon,Restore Reach Function,3,Steelhead,No Priority Life Stages,"Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2176
Okanogan 16-32,Okanogan,Okanogan-Whitestone Coulee,Restore Reach Function,3,Steelhead,No Priority Life Stages,"Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2177
Okanogan 16-39,Okanogan,Okanogan-Mosquito Creek,Restore Reach Function,3,Steelhead,No Priority Life Stages,"Riparian-Canopy Cover,Riparian,Temperature- Rearing",Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2178
Okanogan 16-45,Okanogan,Okanogan-Haynes Creek South,Restore Reach Function,3,Steelhead,No Priority Life Stages,"Coarse Substrate,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2179
Omak 16-12,Okanogan,Omak Creek-Middle DS,Restore Reach Function,3,Steelhead,No Priority Life Stages,"Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing",Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2180
Trail 16-1,Okanogan,Omak Creek-Upper DS,Restore Reach Function,3,Steelhead,No Priority Life Stages,"Cover- Wood,Pool Quantity and Quality","Coarse Substrate,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2181
Omak 16-11,Okanogan,Omak Creek-Middle DS,Restore Reach Function,Not Ranked,Steelhead,No Priority Life Stages,"Riparian-Canopy Cover,Riparian,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2182
Peshastin Creek Lower 01,Wenatchee,Lower Peshastin Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead",Spawning and Incubation,"Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Coarse Substrate,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2183
