"ReachName","Assessment_Unit","Basin","% Fines/Embeddedness - Habitat_Attribute_Score","% Fines/Embeddedness - Data_Source","Bank Stability - Habitat_Attribute_Score","Bank Stability - Data_Source","Brook Trout - Habitat_Attribute_Score","Brook Trout - Data_Source","Channel Stability - Habitat_Attribute_Score","Channel Stability - Data_Source","Coarse Substrate - Habitat_Attribute_Score","Coarse Substrate - Data_Source","Contaminants - Habitat_Attribute_Score","Contaminants - Data_Source","Cover- Boulders - Habitat_Attribute_Score","Cover- Boulders - Data_Source","Cover- Undercut Banks - Habitat_Attribute_Score","Cover- Undercut Banks - Data_Source","Cover- Wood - Habitat_Attribute_Score","Cover- Wood - Data_Source","Entrainment/Stranding - Habitat_Attribute_Score","Entrainment/Stranding - Data_Source","Flow- Scour - Habitat_Attribute_Score","Flow- Scour - Data_Source","Flow- Summer Base Flow - Habitat_Attribute_Score","Flow- Summer Base Flow - Data_Source","Food- Food Web Resources - Habitat_Attribute_Score","Food- Food Web Resources - Data_Source","Harassment - Habitat_Attribute_Score","Harassment - Data_Source","Icing - Habitat_Attribute_Score","Icing - Data_Source","Floodplain Connectivity - Habitat_Attribute_Score","Floodplain Connectivity - Data_Source","Off-Channel/Side-Channels - Habitat_Attribute_Score","Off-Channel/Side-Channels - Data_Source","Pool Quantity & Quality - Habitat_Attribute_Score","Pool Quantity & Quality - Data_Source","Pools- Deep Pools - Habitat_Attribute_Score","Pools- Deep Pools - Data_Source","Predators- Adults - Habitat_Attribute_Score","Predators- Adults - Data_Source","Predators- Juveniles - Habitat_Attribute_Score","Predators- Juveniles - Data_Source","Riparian- Canopy Cover - Habitat_Attribute_Score","Riparian- Canopy Cover - Data_Source","Riparian-Disturbance - Habitat_Attribute_Score","Riparian-Disturbance - Data_Source","Superimposition - Habitat_Attribute_Score","Superimposition - Data_Source","Temperature- Adult Holding - Habitat_Attribute_Score","Temperature- Adult Holding - Data_Source","Temperature- Adult Spawning - Habitat_Attribute_Score","Temperature- Adult Spawning - Data_Source","Temperature- Rearing - Habitat_Attribute_Score","Temperature- Rearing - Data_Source"
"Little Wenatchee River Lower 01","Lower Little Wenatchee River","Wenatchee",NA,"no score","3","Bank_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","","3","Vertical_Channel_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","3","Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","UCSRB_CanopyCoverPct (HabitatAttributeScore2)","5","Disturbance_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","1","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)"
"Little Wenatchee River Lower 02","Lower Little Wenatchee River","Wenatchee","1","SubEstSandFines_CHAMP (HabitatAttributeScore4)","3","Bank_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","","3","Vertical_Channel_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","3","SubEstBldr_CHAMP (HabitatAttributeScore2)","5","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","3","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","3","Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","UCSRB_CanopyCoverPct (HabitatAttributeScore2)","5","Disturbance_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","1","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)"
"Little Wenatchee River Lower 03","Lower Little Wenatchee River","Wenatchee","3","SubEstSandFines_CHAMP (HabitatAttributeScore4)","5","Bank_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","","5","Vertical_Channel_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","SubEstBldr_CHAMP (HabitatAttributeScore2)","5","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","3","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","UCSRB_CanopyCoverPct (HabitatAttributeScore2)","5","Disturbance_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","NORWEST_Temperature (HabitatAttributeScore1)","1","NORWEST_Temperature (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)"
"Little Wenatchee River Lower 04","Lower Little Wenatchee River","Wenatchee","1","SubEstSandFines_CHAMP (HabitatAttributeScore4)","5","Bank_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","","5","Vertical_Channel_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","SubEstBldr_CHAMP (HabitatAttributeScore2)","5","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","3","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","UCSRB_CanopyCoverPct (HabitatAttributeScore2)","5","Disturbance_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","1","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)"
"Little Wenatchee River Lower 05","Lower Little Wenatchee River","Wenatchee","5","SubEstSandFines_CHAMP (HabitatAttributeScore4)","5","Bank_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","","5","Vertical_Channel_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","SubEstBldr_CHAMP (HabitatAttributeScore2)","1","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","1","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","UCSRB_CanopyCoverPct (HabitatAttributeScore2)","5","Disturbance_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)"
"Little Wenatchee River Lower 06","Lower Little Wenatchee River","Wenatchee","5","SubEstSandFines_CHAMP (HabitatAttributeScore4)","5","Bank_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","","5","Vertical_Channel_Stability_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","SubEstBldr_CHAMP (HabitatAttributeScore2)","5","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","1","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","UCSRB_CanopyCoverPct (HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","3","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","3","305bListings_Temperature (HabitatAttributeScore2)"
"Little Wenatchee River Middle 01","Middle Little Wenatchee River","Wenatchee",NA,"no score",NA,"no score","1","",NA,"no score",NA,"no score",NA,"no score",NA,"no score",NA,"no score","3","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score","5","Disturbance_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","3","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","3","305bListings_Temperature (HabitatAttributeScore2)"
"Little Wenatchee River Upper 01","Upper Little Wenatchee River","Wenatchee","5","SubEstSandFines_CHAMP (HabitatAttributeScore4)",NA,"no score","1","",NA,"no score","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","SubEstBldr_CHAMP (HabitatAttributeScore2)","1","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","1","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","Floodplain_Connectivity_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)"
"Little Wenatchee River Upper 02","Upper Little Wenatchee River","Wenatchee","5","SubEstSandFines_CHAMP (HabitatAttributeScore4)",NA,"no score","1","",NA,"no score","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","SubEstBldr_CHAMP (HabitatAttributeScore2)","1","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","3","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","PROSPER (HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","305bListings_Temperature (HabitatAttributeScore2)","3","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","3","305bListings_Temperature (HabitatAttributeScore2)"
"Lost Creek 01","Lower Little Wenatchee River","Wenatchee",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","PROSPER (HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","1","305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)","1","305bListings_Temperature (HabitatAttributeScore2)"
"Lost River Lower 01","Lower Lost River","Methow","3","Clay_Silt_Sand_occular_prcnt_INDICATOR_7 (HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","3","SubEstBldr_CHAMP (HabitatAttributeScore2)","5","Undercut_Area_Pct_CHAMP (HabitatAttributeScore3)","5","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","UCSRB_CanopyCoverPct (HabitatAttributeScore2)","5","Disturbance_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","3","305bListings_Temperature (HabitatAttributeScore2)","3","NORWEST_Temperature (HabitatAttributeScore1), 305bListings_Temperature (HabitatAttributeScore2)","3","305bListings_Temperature (HabitatAttributeScore2)"
"Lost River Lower 02","Lower Lost River","Methow","3","Clay_Silt_Sand_occular_prcnt_INDICATOR_7 (HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","Boulder_UCSRB_pct (HabitatAttributeScore1)",NA,"no score","5","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)","3","NORWEST_Temperature (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)"
"Lost River Lower 03","Lower Lost River","Methow","5","Clay_Silt_Sand_occular_prcnt_INDICATOR_7 (HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","Boulder_UCSRB_pct (HabitatAttributeScore1)",NA,"no score","5","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)","3","NORWEST_Temperature (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)"
"Lost River Lower 04","Lower Lost River","Methow","5","Clay_Silt_Sand_occular_prcnt_INDICATOR_7 (HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score","5","Dominant_Substrate_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","Boulder_UCSRB_pct (HabitatAttributeScore1)",NA,"no score","3","Pieces_per_mile_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","1","Pools_CATEGORY_1 (HabitatAttributeScore1) (detault to REI score)","5","Pools_deeper_3_ft_per_mile_INDICATOR_4 (HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)","3","NORWEST_Temperature (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)"
"Lost River Lower 05","Lower Lost River","Methow",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)","3","NORWEST_Temperature (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)"
"Lost River Lower 06","Lower Lost River","Methow",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROSPER (HabitatAttributeScore3), PROFESSIONAL JUDGEMENT (HabitatAttributeScore4)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)","3","NORWEST_Temperature (HabitatAttributeScore1)","5","NORWEST_Temperature (HabitatAttributeScore1)"
