1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,17,18,,,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55.0,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
Chewuch River Thirtymile 03,Methow,Chewuch River-Thirtymile Creek,yes,yes,yes,,no,yes,2008,"7/27/2002, 8/4/2008",no,2.002929203,3223.408542,,,4886.23892,Chewuch River Doe 12,,,Methow Level 2 Survey,"2008 R9 Chewuch River,2008 R10 Chewuch River",Chewuch River,Chewuch River Doe 12,single,NA,NA,271,NA,NA,NA,NA,NA,NA,NA,0.5,42.33335,51.16665,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,42.8,NA,Data,NA,152.595,84.425,56.26,11.91,NA,NA,Data,NA,42.5,25.67,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,#N/A,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Chewuch River Thirtymile 04,Methow,Chewuch River-Thirtymile Creek,yes,yes,yes,,no,yes,2008,"7/27/2002, 8/4/2008",no,1.80241722,2900.715139,,,4400.041967,Chewuch River Doe 13,,,Methow Level 2 Survey,2008 R11 Chewuch River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,6,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,33.0,NA,NA,NA,662.96,425.35,210.31,27.3,NA,NA,NA,NA,57,15.88,NA,14.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,NA,#N/A,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Chewuch River Thirtymile 05,Methow,Chewuch River-Thirtymile Creek,yes,yes,yes,,no,yes,2008,"7/27/2002, 8/5/2005, 8/4/2008",no,1.671919355,2690.698764,,,4082.78825,Chewuch River Doe 14,,,Methow Level 2 Survey,2008 R11 Chewuch River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,6,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,33.0,NA,NA,NA,662.96,425.35,210.31,27.3,NA,NA,NA,NA,57,15.88,NA,14.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,NA,#N/A,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Chikamin Creek 01,Wenatchee,Chikamin Creek,yes,yes,yes,,no,no,,,no,0.683141018,1099.411097,,,1639.56286,Chikamin Creek 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,57,10.56,0.559137,12.50151,25.87684,0,77.03297,86.93931,5.218771,4A,NA,
Chikamin Creek 02,Wenatchee,Chikamin Creek,yes,yes,yes,,no,no,,,no,0.428618767,689.7964199,,,1028.993617,Chikamin Creek 02,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,72,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,1,NA,
Chikamin Creek 03,Wenatchee,Chikamin Creek,no,yes,yes,,no,no,,,no,3.310730544,5328.114992,,,7959.27062,Chikamin Creek 03,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,NA,85,10.845,2.382433,8.238466,66.2357,0,70.03277,85.44503,3.21575,1,NA,
Chikamin Creek 04,Wenatchee,Chikamin Creek,no,no,yes,,no,no,,,no,1.773902121,2854.824445,,,4267.057466,Chikamin Creek 04,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,93,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Chiliwist Creek 01,Okanogan,Okanogan River-Tallant Creek,no,yes,no,,no,no,,,no,0.508649788,818.5941222,,,1229.01277,Chiliwist Creek 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,15,pH,7,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Chiwaukum Creek 01,Wenatchee,Chiwaukum Creek,yes,yes,yes,,no,no,,,yes,0.658456766,1059.685564,,,1574.641401,Chiwaukum Creek 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,77,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,4A,NA,
Chiwaukum Creek 02,Wenatchee,Chiwaukum Creek,yes,yes,yes,,no,no,,,no,0.550607181,886.1181352,,,1314.562616,Chiwaukum Creek 02,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,NA,83,13.63667,41.4727,4.905275,7.9834,0,92.1601,52.89953,4.1761,1,NA,
Chiwaukum Creek 03,Wenatchee,Chiwaukum Creek,yes,yes,yes,,no,no,,,no,0.593073974,954.461951,,,1416.18096,Chiwaukum Creek 03,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,NA,84,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,1,NA,
Chiwaukum Creek 04,Wenatchee,Chiwaukum Creek,yes,yes,yes,,no,no,,,no,1.085168125,1746.412304,,,2593.235762,Chiwaukum Creek 04,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,NA,83,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Chiwaukum Creek 05,Wenatchee,Chiwaukum Creek,no,no,yes,,no,no,,,no,3.584787508,5769.167805,,,8566.682649,Chiwaukum Creek 05,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,83,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Chiwawa River Headwaters 01,Wenatchee,Chiwawa River Headwaters,yes,yes,yes,,no,no,,,no,3.086509221,4967.265031,,,7438.413559,Chiwawa River Headwaters 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,85,3.5,28.2448,4.9654,38.0652,0,91.3775,60.1965,1.2027,4A,NA,
Chiwawa River Lower 01,Wenatchee,Lower Chiwawa River,yes,yes,yes,,no,no,2015,,yes,1.894920132,3049.584445,,,4537.134035,Chiwawa River Lower 01,,,Upper Wenatchee Pilot Project Level 2 Surveys,Wenatchee-Clear 1-36,Chiwawa River,Chiwawa River Lower 01,single,0,1.889583333,1,NA,Adequate,NA,No Barriers,Adequate,NA,3.3,10,58.3,18.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,68.3,NA,Unacceptable,NA,3,NA,NA,NA,NA,NA,Adequate,NA,NA,5.3,NA,5.3,NA,NA,NA,NA,NA,At Risk,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,42,4.16,21.62113,13.31057,28.7904,0,96.62113,65.0683,5.8354,4A,NA,
Chiwawa River Lower 02,Wenatchee,Lower Chiwawa River,yes,yes,yes,,no,no,2015,,yes,1.029697014,1657.140025,,,2466.079203,Chiwawa River Lower 02,,,Upper Wenatchee Pilot Project Level 2 Surveys,Clear-Alder 37-115,Chiwawa River,Chiwawa River Lower 02,multiple,1.889583333,7.09375,2,NA,Adequate,NA,No Barriers,Adequate,NA,5.6,8.9,56.7,28.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,65.6,NA,Unacceptable,NA,2,NA,NA,NA,NA,NA,Adequate,NA,NA,4.8,NA,4.6,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,49,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,4A,NA,
Chiwawa River Lower 03,Wenatchee,Lower Chiwawa River,yes,yes,yes,,no,no,2015,,yes,2.540859634,4089.125385,,,6090.046415,Chiwawa River Lower 03,,,Upper Wenatchee Pilot Project Level 2 Surveys,Clear-Alder 37-115,Chiwawa River,Chiwawa River Lower 03,multiple,1.889583333,7.09375,2,NA,Adequate,NA,No Barriers,Adequate,NA,5.6,8.9,56.7,28.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,65.6,NA,Unacceptable,NA,2,NA,NA,NA,NA,NA,Adequate,NA,NA,4.8,NA,4.6,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,65,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,2,NA,
Chiwawa River Lower 04,Wenatchee,Lower Chiwawa River,yes,yes,yes,,no,no,2015,,yes,1.684093205,2710.290715,,,4037.081922,Chiwawa River Lower 04,,,Upper Wenatchee Pilot Project Level 2 Surveys,Clear-Alder 37-115,Chiwawa River,Chiwawa River Lower 04,multiple,1.889583333,7.09375,2,NA,Adequate,NA,No Barriers,Adequate,NA,5.6,8.9,56.7,28.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,65.6,NA,Unacceptable,NA,2,NA,NA,NA,NA,NA,Adequate,NA,NA,4.8,NA,4.6,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,49,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,4A,NA,
Chiwawa River Lower 05,Wenatchee,Lower Chiwawa River,yes,yes,yes,,no,no,2015,,yes,2.385681395,3839.389717,,,5720.834105,Chiwawa River Lower 05,,,Upper Wenatchee Pilot Project Level 2 Surveys,Alder-BigMeadow 116-152,Chiwawa River,Chiwawa River Lower 05,single,7.09375,9.455492424,3,NA,Adequate,NA,No Barriers,Adequate,NA,15,5,35,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.0,40.0,NA,Unacceptable,NA,6,NA,NA,NA,NA,NA,Unacceptable,NA,NA,4.2,NA,4.2,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,56,3.153333,37.81837,11.75703,27.54103,0,91.73814,49.01013,4.290367,4A,NA,
Chiwawa River Lower 06,Wenatchee,Lower Chiwawa River,yes,yes,yes,,no,no,2015,,yes,1.63823588,2636.490357,,,3930.858986,Chiwawa River Lower 06,,,Upper Wenatchee Pilot Project Level 2 Surveys,BigMeadow-Twin 153-159,Chiwawa River,Chiwawa River Lower 06,single,9.455492424,10.10890152,4,NA,Adequate,NA,No Barriers,Adequate,NA,0,10,50,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,60.0,NA,Unacceptable,NA,2,NA,NA,NA,NA,NA,At Risk,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,56,26.9,45,5,17.8235,0,95,45,4.175,NA,NA,
Chiwawa River Lower 07,Wenatchee,Lower Chiwawa River,yes,yes,yes,,no,no,2015,,yes,1.927476542,3101.979012,,,4625.549091,Chiwawa River Lower 07,,,Upper Wenatchee Pilot Project Level 2 Surveys,Twin-Grouse 160-192,Chiwawa River,Chiwawa River Lower 07,single,10.10890152,12.24886364,5,NA,Adequate,NA,No Barriers,Adequate,NA,10,20,40,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0,60.0,NA,Unacceptable,NA,5,NA,NA,NA,NA,NA,At Risk,NA,NA,2.3,NA,2.3,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,63,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,4A,NA,
Chiwawa River Middle 01,Wenatchee,Middle Chiwawa River,yes,yes,yes,,no,yes,2015,,no,1.207408069,1943.138817,,,2896.255994,Chiwawa River Middle 01,,,Upper Wenatchee Pilot Project Level 2 Surveys,"Chiwawa River Reach 2 2015/Grouse-Brush, Chiwawa R50",NA,NA,NA,NA,NA,NA,NA,Adequate,NA,NA,Adequate,NA,14.4,35.9,37.4,11.85,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,73.3,NA,Unacceptable,NA,4,NA,NA,NA,NA,NA,Adequate,NA,NA,7.35,NA,8.05,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.693,NA,NA,Adequate,NA,0,0,100,NA,0,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,1.4 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,60,2.04,7.236,29.5929,27.4805,0,87.0017,63.1712,1.8088,4A,NA,
Chiwawa River Middle 02,Wenatchee,Middle Chiwawa River,yes,yes,yes,,no,no,,,no,2.282167579,3672.800047,,,5478.632472,Chiwawa River Middle 02,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,44,26.49222,0,52.81496,46.68621,0,82.43282,47.18504,<Null>,4A,NA,
Chiwawa River Middle 03,Wenatchee,Middle Chiwawa River,yes,yes,yes,,no,no,,,no,2.394230502,3853.148199,,,5750.501499,Chiwawa River Middle 03,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,50,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,1,NA,
Chiwawa River Middle 04,Wenatchee,Middle Chiwawa River,yes,yes,yes,,no,no,,,no,2.246763174,3615.822065,,,5397.456986,Chiwawa River Middle 04,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,57,31,0.5136,37.93295,65.3597,0.49415,88.34505,61.5535,8.33335,1,NA,
Chiwawa River Middle 05,Wenatchee,Upper Chiwawa River,yes,yes,yes,,no,no,,,no,0.941789171,1515.665782,,,2262.388947,Chiwawa River Middle 05,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,73,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,1,NA,
Chiwawa River Upper 01,Wenatchee,Upper Chiwawa River,yes,yes,yes,,no,no,,,yes,2.075451704,3340.122427,,,4988.293485,Chiwawa River Upper 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,62,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,1,NA,
Chiwawa River Upper 02,Wenatchee,Upper Chiwawa River,yes,yes,yes,,no,no,,,yes,2.251586644,3623.584703,,,5416.357822,Chiwawa River Upper 02,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,65,43.98,2.4503,25.5013,111.9959,15.3156,89.9542,72.0484,5.5625,4A,NA,
